Sr.No.,Position,Name,Matches Played,Runs,Fours,Sixes,Strike Rate,Ground,Home Away,Result,50s,100s,Overall Average,Pitch,Opponent,Weather
409,2,RG Sharma,218,7,0,0,31.4,Wellington,Away,0,42,27,48.53,Slow and low,Afghanistan,Cold
410,3,S Gill,5,9,1,0,57,Wellington,Away,0,0,0,60.31,Slow and low,Afghanistan,Cold
411,4,A Rayudu,55,90,8,4,79.65,Wellington,Away,4,10,3,43.32,Slow and low,Afghanistan,Cold
412,5,D Karthik,94,0,0,0,0,Wellington,Away,0,9,0,50.42,Slow and low,Afghanistan,Cold
413,6,H Pandya,54,45,2,5,204.55,Wellington,Away,2,4,0,34.53,Slow and low,Afghanistan,Cold
414,7,KM Jadhav,68,34,3,0,75.56,Wellington,Away,2,6,2,42.97,Slow and low,Afghanistan,Cold
415,8,B Kumar,114,6,0,0,75,Wellington,Away,0,1,0,14.22,Slow and low,Afghanistan,Cold
416,9,K Yadav,70,0,0,0,0,Wellington,Away,0,0,0,6.13,Slow and low,Afghanistan,Cold
417,10,YS Chahal,50,0,0,0,0,Wellington,Away,0,0,0,7.8,Slow and low,Afghanistan,Cold
418,11,J Bumrah,58,0,0,0,0,Wellington,Away,0,0,0,4.3,Slow and low,Afghanistan,Cold
419,1,S Dhawan,133,29,2,3,161.11,Wellington,Away,1,0,0,44.5,Slow and low,Bangladesh,Cold
420,2,RG Sharma,218,1,0,0,20,Wellington,Away,0,42,27,48.53,Slow and low,Bangladesh,Cold
421,3,V Shankar,12,27,2,2,150,Wellington,Away,1,0,0,60.31,Slow and low,Bangladesh,Cold
422,4,RR Pant,55,4,0,0,40,Wellington,Away,0,0,0,43.32,Slow and low,Bangladesh,Cold
423,5,D Karthik,94,5,0,0,80,Wellington,Away,0,9,0,50.42,Slow and low,Bangladesh,Cold
424,6,H Pandya,54,4,1,0,100,Wellington,Away,0,4,0,34.53,Slow and low,Bangladesh,Cold
425,7,K Pandya,4,20,1,1,111,Wellington,Away,1,0,0,42.97,Slow and low,Bangladesh,Cold
426,8,B Kumar,114,1,0,0,33.33,Wellington,Away,0,1,0,14.22,Slow and low,Bangladesh,Cold
427,9,K Yadav,70,0,0,0,0,Wellington,Away,0,0,0,6.13,Slow and low,Bangladesh,Cold
428,10,YS Chahal,50,1,0,0,33.33,Wellington,Away,0,0,0,7.8,Slow and low,Bangladesh,Cold
429,11,J Bumrah,58,1,0,0,100,Wellington,Away,0,0,0,4.3,Slow and low,Bangladesh,Cold
430,1,RG Sharma,218,18,2,0,52.9,Trinidad,Away,1,42,27,48.53,Slow,New zealand,Cold
431,2,S Dhawan,133,2,0,0,66.7,Trinidad,Away,0,27,17,44.5,Slow,New zealand,Cold
432,3,V Kohli,239,120,14,1,96,Trinidad,Away,5,54,43,60.31,Slow,New zealand,Cold
433,4,RR Pant,12,20,2,0,57.1,Trinidad,Away,0,0,0,22.9,Slow,New zealand,Cold
434,5,SS Iyer,6,71,5,1,104.4,Trinidad,Away,4,0,0,49.43,Slow,New zealand,Cold
435,6,KM Jadhav,68,16,2,0,114.3,Trinidad,Away,1,6,2,42.97,Slow,New zealand,Cold
436,7,RA Jadeja,156,16,1,0,100,Trinidad,Away,1,11,0,30.84,Slow,New zealand,Cold
437,8,B Kumar,114,1,0,0,50,Trinidad,Away,0,1,0,14.22,Slow,New zealand,Cold
438,9,M Shami,70,3,0,0,60,Trinidad,Away,0,0,0,7.56,Slow,New zealand,Cold
439,10,KK Ahmed,11,0,0,0,0,Trinidad,Away,0,0,0,4.5,Slow,New zealand,Cold
440,11,YS Chahal,50,0,0,0,0,Trinidad,Away,0,0,0,7.8,Slow,New zealand,Cold
441,1,RR Pant,12,32,4,0,57.14,Old Trafford,Away,2,0,0,37.55,Bowling,West Indies,Cold
442,2,RG Sharma,218,1,0,0,25,Old Trafford,Away,0,42,27,48.53,Bowling,West Indies,Cold
443,3,V Kohli,239,1,0,0,16.67,Old Trafford,Away,0,54,43,60.31,Bowling,West Indies,Cold
444,4,KL Rahul,23,1,0,0,14.29,Old Trafford,Away,0,4,2,43.32,Bowling,West Indies,Cold
445,5,MS Dhoni,350,50,1,1,69.44,Old Trafford,Away,3,73,10,50.42,Bowling,West Indies,Cold
446,6,H Pandya,54,32,2,0,51.61,Old Trafford,Away,2,4,0,34.53,Bowling,West Indies,Cold
447,7,D Karthik,94,6,1,0,24,Old Trafford,Away,0,9,0,30.21,Bowling,West Indies,Cold
448,8,B Kumar,114,0,0,0,0,Old Trafford,Away,0,1,0,14.22,Bowling,West Indies,Cold
449,9,RA Jadeja,156,77,4,4,130.51,Old Trafford,Away,4,11,0,30.84,Bowling,West Indies,Cold
450,10,YS Chahal,50,5,1,0,100,Old Trafford,Away,0,0,0,7.8,Bowling,West Indies,Cold
451,11,J Bumrah,58,0,0,0,0,Old Trafford,Away,0,0,0,4.3,Bowling,West Indies,Cold
452,1,RR Pant,12,4,1,0,100,Headingley,Away,0,0,0,37.55,Batting,West Indies,Cold
453,2,RG Sharma,218,103,14,2,109.57,Headingley,Away,5,42,27,48.53,Batting,West Indies,Cold
454,3,V Kohli,239,34,3,0,82.93,Headingley,Away,2,54,43,60.31,Batting,West Indies,Cold
455,4,KL Rahul,23,111,11,1,94.07,Headingley,Away,5,4,2,43.32,Batting,West Indies,Cold
456,5,MS Dhoni,350,0,0,0,0,Headingley,Away,0,73,10,50.42,Batting,West Indies,Cold
457,6,H Pandya,54,7,1,0,175,Headingley,Away,0,4,0,34.53,Batting,West Indies,Cold
458,7,KM Jadhav,68,0,0,0,0,Headingley,Away,0,9,0,42.97,Batting,West Indies,Cold
459,8,B Kumar,114,0,0,0,0,Headingley,Away,0,1,0,14.22,Batting,West Indies,Cold
460,9,K Yadav,70,0,0,0,0,Headingley,Away,0,11,0,6.13,Batting,West Indies,Cold
461,10,YS Chahal,50,0,0,0,0,Headingley,Away,0,0,0,7.8,Batting,West Indies,Cold
462,11,J Bumrah,58,0,0,0,0,Headingley,Away,0,0,0,4.3,Batting,West Indies,Cold
463,1,V Shankar,12,15,1,0,100,Old Trafford,Away,1,0,0,44.5,Bowling,South Africa,Cold
464,2,RG Sharma,218,140,14,3,123.89,Old Trafford,Away,5,42,27,48.53,Bowling,South Africa,Cold
465,3,V Kohli,239,77,7,0,118.46,Old Trafford,Away,4,54,43,60.31,Bowling,South Africa,Cold
466,4,KL Rahul,23,57,3,2,73.08,Old Trafford,Away,5,4,2,43.32,Bowling,South Africa,Cold
467,5,MS Dhoni,350,1,0,0,50,Old Trafford,Away,1,73,10,50.42,Bowling,South Africa,Cold
468,6,H Pandya,54,26,2,1,136.84,Old Trafford,Away,1,4,0,34.53,Bowling,South Africa,Cold
469,7,KM Jadhav,68,9,1,0,112.5,Old Trafford,Away,0,6,2,42.97,Bowling,South Africa,Cold
470,8,B Kumar,114,0,0,0,0,Old Trafford,Away,0,1,0,14.22,Bowling,South Africa,Cold
471,9,K Yadav,70,0,0,0,0,Old Trafford,Away,0,0,0,6.13,Bowling,South Africa,Cold
472,10,YS Chahal,50,0,0,0,0,Old Trafford,Away,0,0,0,7.8,Bowling,South Africa,Cold
473,11,J Bumrah,58,0,0,0,0,Old Trafford,Away,0,0,0,4.3,Bowling,South Africa,Cold
474,1,V Shankar,12,29,2,0,70.73,Southampton,Away,1,0,0,44.5,Batting,Sri Lanka,Cold
475,2,RG Sharma,218,1,0,0,10,Southampton,Away,0,42,27,48.53,Batting,Sri Lanka,Cold
476,3,V Kohli,239,67,5,0,106.39,Southampton,Away,3,54,43,60.31,Batting,Sri Lanka,Cold
477,4,KL Rahul,23,30,2,0,56,Southampton,Away,3,4,2,43.32,Batting,Sri Lanka,Cold
478,5,MS Dhoni,350,28,3,0,53.87,Southampton,Away,1,73,10,50.42,Batting,Sri Lanka,Cold
479,6,H Pandya,54,7,0,0,77.78,Southampton,Away,0,4,0,34.53,Batting,Sri Lanka,Cold
480,7,KM Jadhav,68,52,3,1,76,Southampton,Away,3,6,2,42.97,Batting,Sri Lanka,Cold
481,8,B Kumar,114,0,0,0,0,Southampton,Away,0,1,0,14.22,Batting,Sri Lanka,Cold
482,9,K Yadav,70,1,0,0,100,Southampton,Away,0,0,0,6.13,Batting,Sri Lanka,Cold
483,10,YS Chahal,50,0,0,0,0,Southampton,Away,0,0,0,7.8,Batting,Sri Lanka,Cold
484,11,J Bumrah,58,0,0,0,0,Southampton,Away,0,0,0,4.3,Batting,Sri Lanka,Cold
485,1,V Shankar,12,14,3,0,73.68,Old Trafford,Away,1,0,0,44.5,Bowling,Australia,Cold
486,2,RG Sharma,218,18,1,1,78.26,Old Trafford,Away,1,42,27,48.53,Bowling,Australia,Cold
487,3,V Kohli,239,72,8,0,87.29,Old Trafford,Away,4,54,43,60.31,Bowling,Australia,Cold
488,4,KLRahul,23,48,6,0,75.23,Old Trafford,Away,2,4,2,43.32,Bowling,Australia,Cold
489,5,MS Dhoni,350,56,3,2,91.76,Old Trafford,Away,3,73,10,50.42,Bowling,Australia,Cold
490,6,H Pandya,54,46,5,0,121.3,Old Trafford,Away,2,4,0,34.53,Bowling,Australia,Cold
491,7,KM Jadhav,68,7,1,0,70,Old Trafford,Away,0,6,2,42.97,Bowling,Australia,Cold
492,8,B Kumar,114,0,0,0,0,Old Trafford,Away,0,1,0,14.22,Bowling,Australia,Cold
493,9,K Yadav,70,0,0,0,0,Old Trafford,Away,0,0,0,6.13,Bowling,Australia,Cold
494,10,YS Chahal,50,0,0,0,0,Old Trafford,Away,0,0,0,7.8,Bowling,Australia,Cold
495,11,J Bumrah,58,0,0,0,0,Old Trafford,Away,0,0,0,4.3,Bowling,Australia,Cold
496,1,RR Pant,12,32,4,0,110.34,Edgbaston,Away,2,0,0,37.55,Bowling,West Indies,Cold
497,2,RG Sharma,218,102,15,0,93.67,Edgbaston,Away,5,42,27,48.53,Bowling,West Indies,Cold
498,3,V Kohli,239,66,7,0,86.34,Edgbaston,Away,3,54,43,60.31,Bowling,West Indies,Cold
499,4,KL Rahul,23,0,0,0,0,Edgbaston,Away,0,4,2,43.32,Bowling,West Indies,Cold
500,5,MS Dhoni,350,42,4,1,135.48,Edgbaston,Away,2,73,10,50.42,Bowling,West Indies,Cold
501,6,H Pandya,54,45,4,0,136.35,Edgbaston,Away,2,4,0,34.53,Bowling,West Indies,Cold
502,7,KM Jadhav,68,12,1,0,92.31,Edgbaston,Away,1,6,2,42.97,Bowling,West Indies,Cold
503,8,B Kumar,114,0,0,0,0,Edgbaston,Away,0,1,0,14.22,Bowling,West Indies,Cold
504,9,K Yadav,70,0,0,0,0,Edgbaston,Away,0,0,0,6.13,Bowling,West Indies,Cold
505,10,YS Chahal,50,0,0,0,0,Edgbaston,Away,0,0,0,7.8,Bowling,West Indies,Cold
506,11,J Bumrah,58,0,0,0,0,Edgbaston,Away,0,0,0,4.3,Bowling,West Indies,Cold
507,1,RR Pant,12,48,6,1,117.01,Edgbaston,Away,2,0,0,37.55,Bowling,England,Cold
508,2,RG Sharma,218,104,7,5,113.04,Edgbaston,Away,5,42,27,48.53,Bowling,England,Cold
509,3,V Kohli,239,26,3,0,96.3,Edgbaston,Away,1,54,43,60.31,Bowling,England,Cold
510,4,KL Rahul,23,77,6,1,83.7,Edgbaston,Away,4,4,2,43.32,Bowling,England,Cold
511,5,MS Dhoni,350,35,4,0,106.06,Edgbaston,Away,1,73,10,50.42,Bowling,England,Cold
512,6,H Pandya,54,0,0,0,0,Edgbaston,Away,0,4,0,34.53,Bowling,England,Cold
513,7,KM Jadhav,68,8,1,0,88.89,Edgbaston,Away,0,6,2,42.97,Bowling,England,Cold
514,8,B Kumar,114,0,0,0,0,Edgbaston,Away,0,1,0,14.22,Bowling,England,Cold
515,9,K Yadav,70,0,0,0,0,Edgbaston,Away,0,0,0,6.13,Bowling,England,Cold
516,10,YS Chahal,50,0,0,0,0,Edgbaston,Away,0,0,0,7.8,Bowling,England,Cold
517,11,J Bumrah,58,0,0,0,0,Edgbaston,Away,0,0,0,4.3,Bowling,England,Cold
518,1,RR Pant,12,32,4,0,110.34,Edgbaston,Away,2,0,0,37.55,Bowling,Afghanistan,Cold
519,2,RG Sharma,218,102,15,0,93.58,Edgbaston,Away,5,42,27,48.53,Bowling,Afghanistan,Cold
520,3,V Kohli,239,66,7,0,86.84,Edgbaston,Away,3,54,43,60.31,Bowling,Afghanistan,Cold
521,4,KL Rahul,23,0,0,0,0,Edgbaston,Away,0,4,2,43.32,Bowling,Afghanistan,Cold
522,5,MS Dhoni,350,42,4,1,135.8,Edgbaston,Away,2,73,10,50.42,Bowling,Afghanistan,Cold
523,6,H Pandya,54,45,4,0,136.36,Edgbaston,Away,2,4,0,34.53,Bowling,Afghanistan,Cold
524,7,KM Jadhav,68,12,1,0,92.31,Edgbaston,Away,1,6,2,42.97,Bowling,Afghanistan,Cold
525,8,B Kumar,114,0,0,0,0,Edgbaston,Away,0,1,0,14.22,Bowling,Afghanistan,Cold
526,9,K Yadav,70,0,0,0,0,Edgbaston,Away,0,0,0,6.13,Bowling,Afghanistan,Cold
527,10,YS Chahal,50,0,0,0,0,Edgbaston,Away,0,0,0,7.8,Bowling,Afghanistan,Cold
528,11,J Bumrah,58,0,0,0,0,Edgbaston,Away,0,0,0,4.3,Bowling,Afghanistan,Cold
529,1,RR Pant,12,4,1,0,100,Headingley,Away,0,0,0,37.55,Batting,Bangladesh,Cold
530,2,RG Sharma,218,103,14,2,109.57,Headingley,Away,5,42,27,48.53,Batting,Bangladesh,Cold
531,3,V Kohli,239,34,3,0,82.93,Headingley,Away,2,54,43,60.31,Batting,Bangladesh,Cold
532,4,KL Rahul,133,111,11,1,94.07,Headingley,Away,5,4,2,43.32,Batting,Bangladesh,Cold
533,5,MS Dhoni,350,0,0,0,0,Headingley,Away,0,73,10,50.42,Batting,Bangladesh,Cold
534,6,H Pandya,54,7,1,0,175,Headingley,Away,0,4,0,34.53,Batting,Bangladesh,Cold
535,7,KM Jadhav,94,0,0,0,0,Headingley,Away,0,6,2,42.97,Batting,Bangladesh,Cold
536,8,B Kumar,114,0,0,0,0,Headingley,Away,0,1,0,14.22,Batting,Bangladesh,Cold
537,9,K Yadav,156,0,0,0,0,Headingley,Away,0,0,0,6.13,Batting,Bangladesh,Cold
538,10,YS Chahal,50,0,0,0,0,Headingley,Away,0,0,0,7.8,Batting,Bangladesh,Cold
539,11,J Bumrah,58,0,0,0,0,Headingley,Away,0,0,0,4.3,Batting,Bangladesh,Cold
540,1,RR Pant,12,32,4,0,57.14,Old Trafford,Away,2,0,0,37.55,Bowling,New zealand,Cold
541,2,RG Sharma,218,1,0,0,25,Old Trafford,Away,0,42,27,48.53,Bowling,New zealand,Cold
542,3,V Kohli,239,1,0,0,16.67,Old Trafford,Away,0,54,43,60.31,Bowling,New zealand,Cold
543,4,KL Rahul,133,1,0,0,14.29,Old Trafford,Away,0,4,2,43.32,Bowling,New zealand,Cold
544,5,MS Dhoni,350,50,1,1,69.44,Old Trafford,Away,3,73,10,50.42,Bowling,New zealand,Cold
545,6,H Pandya,54,32,2,0,51.61,Old Trafford,Away,2,4,0,34.53,Bowling,New zealand,Cold
546,7,D Karthik,94,6,1,0,24,Old Trafford,Away,0,9,0,30.21,Bowling,New zealand,Cold
547,8,B Kumar,114,0,0,0,0,Old Trafford,Away,0,1,0,14.22,Bowling,New zealand,Cold
548,9,RA Jadeja,156,77,4,4,130.51,Old Trafford,Away,4,11,0,30.84,Bowling,New zealand,Cold
549,10,YS Chahal,50,5,1,0,100,Old Trafford,Away,0,0,0,7.8,Bowling,New zealand,Cold
550,11,J Bumrah,58,0,0,0,0,Old Trafford,Away,0,0,0,4.3,Bowling,New zealand,Cold
551,1,A Rayudu,55,13,2,0,68.42,Hyderabad,Home,1,10,3,37.55,Batting,West Indies,Hot and humid
552,2,RG Sharma,218,37,5,0,56.06,Hyderabad,Home,2,42,27,48.53,Batting,West Indies,Hot and humid
553,3,V Kohli,239,44,6,1,97.77,Hyderabad,Home,2,54,43,60.31,Batting,West Indies,Hot and humid
554,4,S Dhawan,133,0,0,0,0,Hyderabad,Home,0,27,17,43.32,Batting,West Indies,Hot and humid
555,5,MS Dhoni,350,59,6,1,81.94,Hyderabad,Home,3,73,10,50.42,Batting,West Indies,Hot and humid
556,6,K Yadav,70,0,0,0,0,Hyderabad,Home,0,0,0,34.53,Batting,West Indies,Hot and humid
557,7,KM Jadhav,68,81,9,1,93.1,Hyderabad,Home,4,6,2,30.21,Batting,West Indies,Hot and humid
558,8,V Shankar,12,0,0,0,0,Hyderabad,Home,0,0,0,14.22,Batting,West Indies,Hot and humid
559,9,RA Jadeja,156,0,0,0,0,Hyderabad,Home,0,0,0,30.84,Batting,West Indies,Hot and humid
560,10,M SHami,70,0,0,0,0,Hyderabad,Home,0,0,0,7.8,Batting,West Indies,Hot and humid
561,11,J Bumrah,58,0,0,0,0,Hyderabad,Home,0,0,0,4.3,Batting,West Indies,Hot and humid
562,1,A Rayudu,55,18,2,0,56.25,Vidharbha,Home,1,10,3,37.55,Batting,West Indies,Hot and humid
563,2,RG Sharma,218,0,0,0,0,Vidharbha,Home,0,42,27,48.53,Batting,West Indies,Hot and humid
564,3,V Kohli,239,116,10,0,96.67,Vidharbha,Home,5,54,43,60.31,Batting,West Indies,Hot and humid
565,4,S Dhawan,133,21,4,0,72.51,Vidharbha,Home,1,27,17,43.32,Batting,West Indies,Hot and humid
566,5,MS Dhoni,350,0,0,0,0,Vidharbha,Home,0,73,10,50.42,Batting,West Indies,Hot and humid
567,6,K Yadav,70,3,0,0,100,Vidharbha,Home,0,0,0,34.53,Batting,West Indies,Hot and humid
568,7,KM Jadhav,68,11,1,0,96.64,Vidharbha,Home,1,6,2,30.21,Batting,West Indies,Hot and humid
569,8,V Shankar,12,46,5,1,112.54,Vidharbha,Home,2,0,0,14.22,Batting,West Indies,Hot and humid
570,9,RA Jadeja,156,21,0,0,52.54,Vidharbha,Home,1,0,0,30.84,Batting,West Indies,Hot and humid
571,10,M SHami,70,2,0,0,50,Vidharbha,Home,0,0,0,7.8,Batting,West Indies,Hot and humid
572,11,J Bumrah,58,0,0,0,0,Vidharbha,Home,0,0,0,4.3,Batting,West Indies,Hot and humid
573,1,A Rayudu,55,2,0,0,25,Ranchi,Home,0,10,3,37.55,Slow and low,South Africa,Hot and humid
574,2,RG Sharma,218,14,2,1,100,Ranchi,Home,1,42,27,48.53,Slow and low,South Africa,Hot and humid
575,3,V Kohli,239,123,16,1,129.47,Ranchi,Home,5,54,43,60.31,Slow and low,South Africa,Hot and humid
576,4,S Dhawan,133,1,0,0,10,Ranchi,Home,0,27,17,43.32,Slow and low,South Africa,Hot and humid
577,5,MS Dhoni,350,26,2,1,61.9,Ranchi,Home,1,73,10,50.42,Slow and low,South Africa,Hot and humid
578,6,K Yadav,70,10,1,0,62.5,Ranchi,Home,1,0,0,34.53,Slow and low,South Africa,Hot and humid
579,7,KM Jadhav,68,26,3,0,66.67,Ranchi,Home,1,6,2,30.21,Slow and low,South Africa,Hot and humid
580,8,V Shankar,12,32,4,0,106.67,Ranchi,Home,2,0,0,14.22,Slow and low,South Africa,Hot and humid
581,9,RA Jadeja,156,24,0,1,77.67,Ranchi,Home,1,0,0,30.84,Slow and low,South Africa,Hot and humid
582,10,M SHami,70,8,2,0,200,Ranchi,Home,0,0,0,7.8,Slow and low,South Africa,Hot and humid
583,11,J Bumrah,58,0,0,0,0,Ranchi,Home,0,0,0,4.3,Slow and low,South Africa,Hot and humid
584,1,RR Pant,12,36,4,1,150,Chandigarh,Home,2,0,0,37.55,Pace and Bounce,Sri Lanka,Hot and humid
585,2,RG Sharma,218,95,7,2,103.26,Chandigarh,Home,4,42,27,48.53,Pace and Bounce,Sri Lanka,Hot and humid
586,3,V Kohli,239,7,1,0,116.67,Chandigarh,Home,0,54,43,60.31,Pace and Bounce,Sri Lanka,Hot and humid
587,4,S Dhawan,133,143,18,3,124.34,Chandigarh,Home,5,27,17,43.32,Pace and Bounce,Sri Lanka,Hot and humid
588,5,B Kumar,114,1,0,0,50,Chandigarh,Home,0,1,0,50.42,Pace and Bounce,Sri Lanka,Hot and humid
589,6,K Yadav,70,1,0,0,100,Chandigarh,Home,0,0,0,34.53,Pace and Bounce,Sri Lanka,Hot and humid
590,7,KM Jadhav,68,10,0,0,83,Chandigarh,Home,1,6,2,30.21,Pace and Bounce,Sri Lanka,Hot and humid
591,8,V Shankar,12,26,1,2,173.33,Chandigarh,Home,1,0,0,14.22,Pace and Bounce,Sri Lanka,Hot and humid
592,9,RA Jadeja,156,1,0,0,100,Chandigarh,Home,0,0,0,30.84,Pace and Bounce,Sri Lanka,Hot and humid
593,10,M SHami,70,0,0,0,0,Chandigarh,Home,0,0,0,7.8,Pace and Bounce,Sri Lanka,Hot and humid
594,11,J Bumrah,58,0,0,0,0,Chandigarh,Home,0,0,0,4.3,Pace and Bounce,Sri Lanka,Hot and humid
595,1,RR Pant,12,16,1,1,100,Delhi,Home,1,0,0,37.55,Batting,Australia,Hot and humid
596,2,RG Sharma,218,56,4,0,62.92,Delhi,Home,3,42,27,48.53,Batting,Australia,Hot and humid
597,3,V Kohli,239,20,2,0,90.91,Delhi,Home,1,54,43,60.31,Batting,Australia,Hot and humid
598,4,S Dhawan,133,12,2,0,80,Delhi,Home,1,27,17,43.32,Batting,Australia,Hot and humid
599,5,B Kumar,114,46,3,2,85.91,Delhi,Home,2,1,0,50.42,Batting,Australia,Hot and humid
600,6,K Yadav,70,8,1,0,66.34,Delhi,Home,0,0,0,34.53,Batting,Australia,Hot and humid
601,7,KM Jadhav,68,44,4,1,77.56,Delhi,Home,2,6,2,30.21,Batting,Australia,Hot and humid
602,8,V Shankar,12,16,0,1,76.91,Delhi,Home,1,0,0,14.22,Batting,Australia,Hot and humid
603,9,RA Jadeja,114,0,0,0,0,Delhi,Home,0,0,0,30.84,Batting,Australia,Hot and humid
604,10,M SHami,70,3,0,0,42.24,Delhi,Home,0,0,0,7.8,Batting,Australia,Hot and humid
605,11,J Bumrah,58,1,0,0,25,Delhi,Home,0,0,0,4.3,Batting,Australia,Hot and humid
